Address,City,Province,Country,Postal Code,Latitude,Longitude
332 Willow Creek Road,Winnipeg,MB,Canada,,,
19 Bramblewood Court,Winnipeg,MB,Canada,,,
89 Cherrywood Road,Winnipeg,MB,Canada,,,
56 Glenn Ivy Court,Winnipeg,MB,Canada,,,
155 Appleford Gate,Winnipeg,MB,Canada,,,
100 Rose Lake Court,Winnipeg,MB,Canada,,,
101 Rose Lake Court,Winnipeg,MB,Canada,,,
112 Rose Lake Court,Winnipeg,MB,Canada,,,
116 Rose Lake Court,Winnipeg,MB,Canada,,,
145 Rose Lake Court,Winnipeg,MB,Canada,,,
31 Valleybrook Road,Winnipeg,MB,Canada,,,
119 Valleybrook Road,Winnipeg,MB,Canada,,,
131 Valleybrook Road,Winnipeg,MB,Canada,,,
167 Valleybrook Road,Winnipeg,MB,Canada,,,
39 Windflower Road,Winnipeg,MB,Canada,,,
312 Windflower Road,Winnipeg,MB,Canada,,,
12 Elm Forest Court,Winnipeg,MB,Canada,,,
31 Bakersfield Court,Winnipeg,MB,Canada,,,
67 Bakersfield Court,Winnipeg,MB,Canada,,,
40 Kingfisher Crescent,Winnipeg,MB,Canada,,,
95 Kingfisher Crescent,Winnipeg,MB,Canada,,,
2 Greyhawk Cove,Winnipeg,MB,Canada,,,
19 Goldfinch Way,Winnipeg,MB,Canada,,,
51 Brookstone Place,Winnipeg,MB,Canada,,,
96 Brookstone Place,Winnipeg,MB,Canada,,,
106 Brookstone Place,Winnipeg,MB,Canada,,,
8 Cypress Ridge,Winnipeg,MB,Canada,,,
26 Cypress Ridge,Winnipeg,MB,Canada,,,
64 Cypress Ridge,Winnipeg,MB,Canada,,,
6 Vestford Place,Winnipeg,MB,Canada,,,
236 Southview Crescent,Winnipeg,MB,Canada,,,
67 Autumnview Drive,Winnipeg,MB,Canada,,,
87 Autumnview Drive,Winnipeg,MB,Canada,,,
93 Autumnview Drive,Winnipeg,MB,Canada,,,
121 Autumnview Drive,Winnipeg,MB,Canada,,,
157 Autumnview Drive,Winnipeg,MB,Canada,,,
177 Autumnview Drive,Winnipeg,MB,Canada,,,
6 Kittiwake Place,Winnipeg,MB,Canada,,,
16 Kittiwake Place,Winnipeg,MB,Canada,,,
30 Kittiwake Place,Winnipeg,MB,Canada,,,
62 Yorkvalley Way,Winnipeg,MB,Canada,,,
19 Switch Grass Cove,Winnipeg,MB,Canada,,,
84 Waterstone Drive,Winnipeg,MB,Canada,,,
14 Westwind Place,Winnipeg,MB,Canada,,,
59 Loewen Place,Winnipeg,MB,Canada,,,
21 Fairbairn Bay,Winnipeg,MB,Canada,,,
37 Fairbairn Bay,Winnipeg,MB,Canada,,,
55 Turnstone Terrace,Winnipeg,MB,Canada,,,
34 Barkwood Bay,Winnipeg,MB,Canada,,
